epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5136,0.74706,12.5588,0.39672,0.00257,0.71569,0.00221,0.00107,0.77051,15.781,0.44366,6e-05,6e-05,0.09406
2,35.7122,1.50488,1.84995,1.13968,0.0007,0.19331,0.00131,0.00025,1.61816,0.50711,1.45379,0.000126783,0.000126783,0.0871268
3,49.9041,1.53035,0.6475,1.02508,0.00013,0.03542,7e-05,1e-05,2.60007,0.13693,2.24447,0.0001901,0.0001901,0.0801901
4,64.0929,1.53216,0.59115,0.86524,0.00037,0.1028,0.00287,0.00046,1.78961,0.56154,1.67099,0.000249953,0.000249953,0.07325
5,78.226,1.07918,0.89099,0.66788,0.00066,0.18298,0.01161,0.00166,1.5032,0.72627,1.23691,0.00030634,0.00030634,0.0663063
6,92.8654,1.01088,0.965,0.56295,0.00138,0.38269,0.02858,0.00571,1.2284,0.73026,1.07792,0.000359262,0.000359262,0.0593593
7,107.29,0.93807,0.93341,0.46266,0.00276,0.76734,0.06941,0.01967,0.86075,1.10678,0.6561,0.00040872,0.00040872,0.0524087
8,122.028,0.619,1.27941,0.32985,0.00331,0.91884,0.08687,0.03563,0.58832,1.51897,0.34349,0.000454713,0.000454713,0.0454547
9,136.68,0.66319,1.38755,0.34517,0.01158,0.85588,0.09602,0.0359,0.63214,1.59553,0.31383,0.00049724,0.00049724,0.0384972
10,151.332,0.56948,1.31371,0.28713,0.0236,0.86129,0.09631,0.03394,0.61931,1.34145,0.32652,0.000536303,0.000536303,0.0315363
11,165.997,0.61772,1.17632,0.32736,0.03973,0.65175,0.08482,0.02945,0.75169,1.08054,0.46364,0.0005719,0.0005719,0.0245719
12,180.906,0.58495,1.10624,0.27576,0.05771,0.54697,0.06273,0.02807,0.55077,1.24452,0.28976,0.000604033,0.000604033,0.017604
13,195.733,0.48841,1.28788,0.26307,0.06007,0.53074,0.06108,0.02863,0.5842,1.33049,0.34911,0.0006327,0.0006327,0.0106327
14,210.351,0.49527,1.2877,0.28469,0.07273,0.46631,0.06433,0.0318,0.62778,1.20442,0.45537,0.000657903,0.000657903,0.0036579
15,225.169,0.50397,1.16262,0.30164,0.05873,0.45155,0.05628,0.02761,0.55789,1.20246,0.36238,0.0006535,0.0006535,0.0006535
16,239.687,0.43947,1.25239,0.30856,0.04333,0.42843,0.04589,0.02329,0.51726,1.37162,0.28832,0.00062875,0.00062875,0.00062875
17,254.158,0.43508,1.41061,0.19605,0.04055,0.45647,0.0433,0.02259,0.50777,1.50022,0.28696,0.000604,0.000604,0.000604
18,268.592,0.45977,1.3321,0.23532,0.04129,0.49041,0.04376,0.0246,0.49463,1.34284,0.27942,0.00057925,0.00057925,0.00057925
19,283.153,0.43402,1.27496,0.21855,0.03644,0.54009,0.0416,0.02412,0.44998,1.35709,0.23628,0.0005545,0.0005545,0.0005545
20,297.968,0.44411,1.27073,0.20942,0.03341,0.58633,0.04073,0.02424,0.46054,1.3786,0.23654,0.00052975,0.00052975,0.00052975
21,312.413,0.40764,1.35393,0.2025,0.03404,0.61338,0.04217,0.02505,0.47225,1.3965,0.24209,0.000505,0.000505,0.000505
22,326.906,0.38282,1.35841,0.18486,0.04344,0.66265,0.05324,0.03047,0.50758,1.39812,0.29642,0.00048025,0.00048025,0.00048025
23,341.351,0.39493,1.39108,0.21932,0.03604,0.74766,0.05333,0.03274,0.49237,1.49739,0.31145,0.0004555,0.0004555,0.0004555
24,356.161,0.42075,1.33429,0.1563,0.03761,0.76144,0.05444,0.03025,0.46687,1.3559,0.28049,0.00043075,0.00043075,0.00043075
25,370.546,0.38427,1.29311,0.18333,0.03974,0.72996,0.05058,0.02667,0.45676,1.30161,0.25766,0.000406,0.000406,0.000406
26,385.628,0.41111,1.26851,0.18852,0.04188,0.69405,0.05345,0.02524,0.47128,1.27801,0.24266,0.00038125,0.00038125,0.00038125
27,400.524,0.38085,1.32966,0.20798,0.03983,0.65076,0.04805,0.02604,0.45199,1.32851,0.22935,0.0003565,0.0003565,0.0003565
28,415.441,0.42151,1.33057,0.17332,0.04215,0.6124,0.04784,0.025,0.45341,1.31902,0.23167,0.00033175,0.00033175,0.00033175
29,429.99,0.34638,1.43387,0.174,0.04388,0.57698,0.0478,0.02445,0.46321,1.30113,0.24706,0.000307,0.000307,0.000307
