epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9952,1.70897,3.49786,1.70125,0.16764,0.02312,0.02918,0.01235,1.73666,4.1726,1.52066,3e-05,3e-05,0.09703
2,50.918,2.00716,3.41198,1.78548,0.43329,0.30989,0.31482,0.16686,1.54762,2.53309,1.44537,6.82675e-05,6.82675e-05,0.0930683
3,63.1418,1.50799,2.39213,1.48407,0.00237,0.51008,0.0067,0.00193,2.49306,3.89325,2.56542,0.000104555,0.000104555,0.0891046
4,76.0446,1.77338,2.80962,1.74058,0.32305,0.2184,0.14311,0.04312,2.56115,3.48726,2.5998,0.000138863,0.000138863,0.0851389
5,91.0248,1.78675,2.16419,1.61875,0.38919,0.24643,0.19585,0.06603,2.37225,6.15155,2.4527,0.00017119,0.00017119,0.0811712
6,104.364,1.81687,2.08395,1.77509,0.34262,0.25676,0.17094,0.05486,2.42946,3.97784,2.49211,0.000201537,0.000201537,0.0772015
7,116.929,1.7489,1.7225,1.6512,0.22913,0.21545,0.12679,0.04264,2.29609,2.96145,2.39311,0.000229905,0.000229905,0.0732299
8,129.337,1.68656,2.4554,1.5127,0.37387,0.28431,0.22663,0.08301,2.25624,2.9331,2.43743,0.000256292,0.000256292,0.0692563
9,141.287,1.72627,1.77002,2.00015,0.46282,0.28529,0.26679,0.0999,2.31472,2.6811,2.55002,0.0002807,0.0002807,0.0652807
10,153.325,1.64294,1.56279,1.67218,0.27924,0.19331,0.09835,0.03108,2.90295,3.45355,3.06264,0.000303127,0.000303127,0.0613031
11,165.058,1.6979,2.00339,1.66645,0.00333,0.02607,0.00148,0.00046,3.34478,5.91984,4.56543,0.000323575,0.000323575,0.0573236
12,176.753,1.68085,1.82568,1.73596,0.01315,0.01574,0.00317,0.00153,2.936,5.14021,3.79042,0.000342042,0.000342042,0.053342
